Feature	MeanSHAP	Group
Puffin_sum_normalized_sum	0.00545047965427988	Sig5
Puffin_sum_mean	0.000561585944084348	Sig60
Puffin_sum_median	0.00219329579340185	Sig30
Puffin_sum_directional_extreme	0.00347435188961741	Sig30
Puffin_sum_normalized_absolute_sum	0.00279063527385245	Sig30
Puffin_mean_normalized_sum	0.000633139976327231	Sig60
Puffin_mean_mean	0.00042351521562868	Sig70
Puffin_mean_median	0.0067888879120925	Sig3
Puffin_mean_directional_extreme	0.000492646339229087	Sig70
Puffin_mean_normalized_absolute_sum	0.00304689526837224	Sig30
Puffin_median_normalized_sum	0.0020833512566547	Sig30
Puffin_median_mean	0.000752073751757519	Sig60
Puffin_median_median	0.00262227001508593	Sig30
Puffin_median_directional_extreme	0.00351565999876892	Sig30
Puffin_median_normalized_absolute_sum	0.0029256218126149	Sig30
Puffin_directional_extreme_normalized_sum	0.00306945248346864	Sig30
Puffin_directional_extreme_mean	0.00198571417730006	Sig30
Puffin_directional_extreme_median	0.00263098201396081	Sig30
Puffin_directional_extreme_directional_extreme	0.000468369499135792	Sig70
Puffin_directional_extreme_normalized_absolute_sum	0.0025288480868935	Sig30
Sei_sum_normalized_sum	0.0026021372507931	Sig30
Sei_sum_mean	0.000196203328901961	Sig80
Sei_sum_median	0.00344966567248168	Sig30
Sei_sum_directional_extreme	0.000896911713310006	Sig50
Sei_sum_normalized_absolute_sum	0.00194013100562801	Sig30
Sei_mean_normalized_sum	0.00281109130153671	Sig30
Sei_mean_mean	0.00182508216247662	Sig30
Sei_mean_median	0.00570130603984744	Sig3
Sei_mean_directional_extreme	0.00236686604497061	Sig30
Sei_mean_normalized_absolute_sum	0.000252220310124608	Sig80
Sei_median_normalized_sum	0.00265692901911116	Sig30
Sei_median_mean	0.000124601011762872	Sig90
Sei_median_median	0.000403180749022065	Sig70
Sei_median_directional_extreme	0.00157503903392794	Sig50
Sei_median_normalized_absolute_sum	0.00665536404159068	Sig3
Sei_directional_extreme_normalized_sum	0.00579182257495779	Sig3
Sei_directional_extreme_mean	0.00225818423445818	Sig30
Sei_directional_extreme_median	0.0039634122074655	Sig10
Sei_directional_extreme_directional_extreme	0.00467930237185303	Sig10
Sei_directional_extreme_normalized_absolute_sum	0.000851843218501241	Sig50
Sei_PC1_Polycomb_/_Heterochromatin	0.00302523954482311	Sig30
Sei_L1_Low_signal	0.00322779390530068	Sig30
Sei_TN1_Transcription	0.00116328438483138	Sig50
Sei_TN2_Transcription	0.00117600115865026	Sig50
Sei_L2_Low_signal	0.00388740992116907	Sig10
Sei_E1_Stem_cell	0.00130226414134443	Sig50
Sei_E2_Multi-tissue	0.00113045722342643	Sig50
Sei_E3_Brain_/_Melanocyte	0.000609643157892704	Sig60
Sei_L3_Low_signal	0.00550460728962582	Sig5
Sei_E4_Multi-tissue	0.000319816213456345	Sig70
Sei_TF1_NANOG_/_FOXA1	0.000537449605076712	Sig60
Sei_HET1_Heterochromatin	0.00313437978153206	Sig30
Sei_E5_B-cell-like	0.00127291226233495	Sig50
Sei_E6_Weak_epithelial	0.000858398531188214	Sig50
Sei_TF2_CEBPB	0.000324428933189346	Sig70
Sei_PC2_Weak_Polycomb	0.00318099922255023	Sig30
Sei_E7_Monocyte_/_Macrophage	0.00147943272725381	Sig50
Sei_E8_Weak_multi-tissue	0.00190740024196435	Sig30
Sei_L4_Low_signal	0.00344707942543807	Sig30
Sei_TF3_FOXA1_/_AR_/_ESR1	0.00048160353887581	Sig70
Sei_PC3_Polycomb	0.000711791036785017	Sig60
Sei_TN3_Transcription	0.000264732566091041	Sig80
Sei_L5_Low_signal	0.000363558727326689	Sig70
Sei_HET2_Heterochromatin	0.00409984635807501	Sig10
Sei_L6_Low_signal	0.00218904778920011	Sig30
Sei_P_Promoter	0.00169521211512364	Sig30
Sei_E9_Liver_/_Intestine	0.00132040707689411	Sig50
Sei_CTCF_CTCF-Cohesin	0.000683611961900227	Sig60
Sei_TN4_Transcription	0.00342717574502093	Sig30
Sei_HET3_Heterochromatin	0.00167020636477487	Sig30
Sei_E10_Brain	0.00325912103811932	Sig30
Sei_TF4_OTX2	0.00288357408870382	Sig30
Sei_HET4_Heterochromatin	0.000404870302660579	Sig70
Sei_L7_Low_signal	0.00220986157240693	Sig30
Sei_PC4_Polycomb_/_Bivalent_stem_cell_Enh	0.00071045741505154	Sig60
Sei_HET5_Centromere	0.000877049229019775	Sig50
Sei_E11_T-cell	0.000872681571675069	Sig50
Sei_TF5_AR	0.000618532418539562	Sig60
Sei_E12_Erythroblast-like	0.00100910886769087	Sig50
Sei_HET6_Centromere	0.000375625299074127	Sig70
Enformer_sum_normalized_sum	0.00112316022915676	Sig50
Enformer_sum_mean	0.00358502110211832	Sig10
Enformer_sum_median	0.0069564260073507	Sig3
Enformer_sum_directional_extreme	0.0017867397015673	Sig30
Enformer_sum_normalized_absolute_sum	0.0043986020308558	Sig10
Enformer_mean_normalized_sum	0.00197337706645584	Sig30
Enformer_mean_mean	0.00416148046132694	Sig10
Enformer_mean_median	0.0078680931827168	Sig08
Enformer_mean_directional_extreme	0.00243538389663585	Sig30
Enformer_mean_normalized_absolute_sum	0.00302416624111	Sig30
Enformer_median_normalized_sum	0.00439914491212862	Sig10
Enformer_median_mean	0.00425505127285229	Sig10
Enformer_median_median	0.0056983747340341	Sig3
Enformer_median_directional_extreme	0.000863171345430892	Sig50
Enformer_median_normalized_absolute_sum	0.00523326322114459	Sig5
Enformer_directional_extreme_normalized_sum	0.00056572107932145	Sig60
Enformer_directional_extreme_mean	0.000617876903533751	Sig60
Enformer_directional_extreme_median	5.1670785422053e-05	Other
Enformer_directional_extreme_directional_extreme	0.0020308499508987	Sig30
Enformer_directional_extreme_normalized_absolute_sum	0.0101877227900958	Sig02
cd_ConstraintZ_1.0	0.00417200336758483	Sig10
cd_prop_ConstraintZ_1.0	0.00391033328831434	Sig10
cd_ConstraintZ_2.0	7.6320230612211e-05	Sig90
cd_prop_ConstraintZ_2.0	0.0056336216353878	Sig5
cd_ConstraintZ_3.0	0.00214019361300518	Sig30
cd_prop_ConstraintZ_3.0	0.00136556488914957	Sig50
cd_ConstraintZ_4.0	0.00154925325415419	Sig50
cd_prop_ConstraintZ_4.0	0.000623599318461428	Sig60
cd_JARVIS_0.9	0.00268094605063641	Sig30
cd_prop_JARVIS_0.9	0.000920679135771507	Sig50
cd_JARVIS_0.99	0.00132411053459272	Sig50
cd_prop_JARVIS_0.99	0.000753569191963473	Sig60
cd_JARVIS_0.999	0.00119684182305647	Sig50
cd_prop_JARVIS_0.999	1.50610538814199e-05	Other
cd_SpliceAI_pred_DS_AG_0.2	0.00157335570048774	Sig50
cd_prop_SpliceAI_pred_DS_AG_0.2	0.00204823768159895	Sig30
